,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,36953.0,161.0,934.0,10871.0,1586.0,0.0,2869.0,226.0,35.0,96.0,60.0,0.0,26.0,840.0,54657.0,0.67608905
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,5106.0,124.0,6116.0,9203.0,3610.0,15.0,12974.0,158.0,48.0,0.0,2.0,0.0,22.0,573.0,37951.0,0.16115518
Fruit trees/berry plantations,9032.0,217.0,1526.0,93661.0,3138.0,26.0,5667.0,143.0,53.0,13.0,23.0,1.0,14.0,1242.0,114756.0,0.81617516
Pastures,4932.0,330.0,1076.0,8359.0,35701.0,13.0,45403.0,1431.0,163.0,79.0,208.0,11.0,45.0,1495.0,99246.0,0.35972232
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1931.0,68.0,340.0,2599.0,11528.0,37.0,343489.0,5517.0,866.0,2412.0,847.0,49.0,20.0,1416.0,371119.0,0.9255495
Natural grasslands,189.0,3.0,0.0,54.0,319.0,0.0,3518.0,63124.0,1132.0,6797.0,9145.0,0.0,206.0,295.0,84782.0,0.7445448
Transitional woodland-shrub,183.0,9.0,7.0,97.0,1333.0,0.0,22046.0,10783.0,5195.0,1024.0,1030.0,4.0,1.0,109.0,41821.0,0.12421989
Bare rocks,164.0,0.0,7.0,59.0,125.0,0.0,2789.0,12577.0,162.0,21657.0,9198.0,190.0,0.0,58.0,46986.0,0.46092454
Sparsely vegetated areas,24.0,0.0,0.0,0.0,1.0,0.0,146.0,15034.0,64.0,8293.0,38206.0,8.0,76.0,172.0,62024.0,0.61598736
Glaciers and perpetual snow,195.0,7.0,75.0,207.0,426.0,0.0,7631.0,1563.0,70.0,1545.0,2751.0,1793.0,0.0,72.0,16335.0,0.10976431
Wetlands,104.0,3.0,6.0,111.0,129.0,0.0,2745.0,35.0,1.0,0.0,5.0,0.0,992.0,71.0,4202.0,0.23607805
Inland waters,586.0,14.0,33.0,521.0,281.0,0.0,2840.0,413.0,19.0,490.0,136.0,2.0,15.0,2703.0,8053.0,0.3356513
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6218322,0.26530612,0.6043478,0.7446474,0.6132928,0.35,0.7596407,0.5686642,0.6653432,0.510706,0.62011653,0.8712342,0.70007056,0.29877308,0.0,0.68964905
