,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,37060.0,143.0,881.0,10031.0,1233.0,3.0,2422.0,95.0,33.0,0.0,15.0,0.0,16.0,751.0,52683.0,0.7034527
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,5685.0,143.0,6615.0,11425.0,3315.0,11.0,17436.0,142.0,90.0,0.0,4.0,0.0,11.0,777.0,45654.0,0.1448942
Fruit trees/berry plantations,8244.0,206.0,1347.0,94607.0,1805.0,27.0,3322.0,49.0,41.0,28.0,15.0,0.0,7.0,1015.0,110713.0,0.8545248
Pastures,5192.0,356.0,810.0,6510.0,38020.0,22.0,46867.0,1441.0,138.0,96.0,209.0,13.0,62.0,1740.0,101476.0,0.37466988
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1817.0,70.0,317.0,2096.0,11502.0,24.0,344697.0,6007.0,923.0,2792.0,920.0,68.0,12.0,1360.0,372605.0,0.9251003
Natural grasslands,79.0,5.0,0.0,16.0,274.0,0.0,2924.0,65035.0,1093.0,7178.0,9694.0,0.0,219.0,318.0,86835.0,0.74894917
Transitional woodland-shrub,147.0,6.0,0.0,35.0,1097.0,0.0,19748.0,10507.0,5192.0,598.0,958.0,1.0,0.0,82.0,38371.0,0.13531052
Bare rocks,101.0,0.0,2.0,52.0,104.0,0.0,2253.0,13171.0,140.0,21747.0,8687.0,194.0,12.0,56.0,46519.0,0.4674864
Sparsely vegetated areas,27.0,0.0,0.0,2.0,1.0,0.0,173.0,12700.0,82.0,8047.0,38261.0,8.0,48.0,148.0,59497.0,0.64307445
Glaciers and perpetual snow,188.0,0.0,75.0,207.0,353.0,0.0,7014.0,1367.0,59.0,1519.0,2722.0,1774.0,0.0,60.0,15338.0,0.11566045
Wetlands,107.0,2.0,12.0,92.0,79.0,0.0,2605.0,35.0,3.0,0.0,5.0,0.0,1002.0,53.0,3995.0,0.2508135
Inland waters,752.0,5.0,61.0,669.0,394.0,4.0,2656.0,455.0,14.0,401.0,121.0,0.0,28.0,2686.0,8246.0,0.3257337
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6236327,0.26530612,0.6536561,0.7521685,0.65312994,0.35,0.76231223,0.5858798,0.664959,0.51282835,0.62100923,0.86200196,0.70712775,0.29689398,0.0,0.6971888
