,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,38097.0,131.0,885.0,10130.0,1384.0,8.0,3144.0,794.0,40.0,402.0,183.0,0.0,20.0,832.0,56050.0,0.6796967
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,4607.0,67.0,5864.0,12373.0,4922.0,0.0,20343.0,1394.0,92.0,707.0,286.0,1.0,9.0,550.0,51215.0,0.11449771
Fruit trees/berry plantations,8247.0,284.0,1795.0,84710.0,5342.0,35.0,19917.0,810.0,165.0,208.0,234.0,2.0,17.0,1508.0,123274.0,0.6871684
Pastures,3435.0,238.0,932.0,8656.0,26701.0,13.0,63573.0,3490.0,334.0,1316.0,964.0,47.0,43.0,1192.0,110934.0,0.24069266
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,2164.0,144.0,318.0,6456.0,15027.0,26.0,277026.0,9991.0,1255.0,4503.0,3076.0,139.0,31.0,1347.0,321503.0,0.86165917
Natural grasslands,203.0,16.0,9.0,376.0,557.0,8.0,6770.0,51540.0,1232.0,7604.0,12048.0,1.0,159.0,361.0,80884.0,0.6372088
Transitional woodland-shrub,228.0,4.0,35.0,609.0,1217.0,1.0,30677.0,9552.0,4145.0,1438.0,1521.0,5.0,7.0,103.0,49542.0,0.083666384
Bare rocks,973.0,28.0,123.0,1165.0,1505.0,0.0,13321.0,13892.0,306.0,17410.0,8252.0,119.0,5.0,301.0,57400.0,0.3033101
Sparsely vegetated areas,38.0,0.0,0.0,8.0,41.0,0.0,568.0,17221.0,137.0,7047.0,32759.0,14.0,110.0,96.0,58039.0,0.56443083
Glaciers and perpetual snow,231.0,0.0,85.0,290.0,787.0,0.0,12121.0,1812.0,82.0,1575.0,2153.0,1730.0,0.0,78.0,20944.0,0.08260122
Wetlands,100.0,2.0,11.0,102.0,162.0,0.0,1226.0,42.0,7.0,0.0,5.0,0.0,990.0,23.0,2670.0,0.37078652
Inland waters,1076.0,22.0,63.0,867.0,532.0,0.0,3431.0,466.0,13.0,196.0,130.0,0.0,26.0,2655.0,9477.0,0.28015193
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.641083,0.26530612,0.5794466,0.67348284,0.4586855,0.35,0.61265486,0.4643076,0.5308658,0.41055512,0.531707,0.84062195,0.6986591,0.29346746,0.0,0.5772185
