,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,35471.0,137.0,813.0,9411.0,1237.0,8.0,2478.0,119.0,26.0,33.0,17.0,0.0,12.0,688.0,50450.0,0.70309216
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,6593.0,160.0,6734.0,13585.0,3828.0,21.0,19570.0,179.0,84.0,0.0,2.0,0.0,17.0,975.0,51748.0,0.13013063
Fruit trees/berry plantations,9010.0,227.0,1338.0,93166.0,1796.0,8.0,3159.0,52.0,60.0,9.0,17.0,0.0,2.0,977.0,109821.0,0.84834415
Pastures,5370.0,307.0,773.0,6930.0,35715.0,23.0,66919.0,2299.0,300.0,425.0,646.0,14.0,49.0,1918.0,121688.0,0.2934965
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1556.0,82.0,270.0,1427.0,12336.0,18.0,313783.0,10191.0,1078.0,4911.0,1663.0,71.0,7.0,1044.0,348437.0,0.9005444
Natural grasslands,135.0,0.0,1.0,36.0,414.0,8.0,4222.0,61048.0,1158.0,7710.0,10680.0,1.0,225.0,305.0,85943.0,0.71033126
Transitional woodland-shrub,150.0,9.0,14.0,36.0,1401.0,0.0,21254.0,11061.0,4769.0,783.0,1424.0,0.0,9.0,133.0,41043.0,0.11619521
Bare rocks,145.0,0.0,13.0,93.0,203.0,1.0,4690.0,12288.0,149.0,18642.0,8234.0,179.0,13.0,69.0,44719.0,0.4168698
Sparsely vegetated areas,16.0,0.0,0.0,0.0,29.0,0.0,162.0,11679.0,102.0,7923.0,36277.0,15.0,25.0,110.0,56338.0,0.6439171
Glaciers and perpetual snow,189.0,0.0,75.0,207.0,453.0,0.0,7315.0,1424.0,59.0,1430.0,2480.0,1778.0,0.0,63.0,15473.0,0.11490984
Wetlands,128.0,7.0,19.0,134.0,191.0,0.0,3552.0,47.0,3.0,0.0,5.0,0.0,1013.0,83.0,5182.0,0.19548437
Inland waters,636.0,7.0,70.0,717.0,574.0,4.0,5013.0,617.0,20.0,540.0,166.0,0.0,45.0,2681.0,11090.0,0.24174932
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.5968936,0.26530612,0.66541505,0.74071187,0.6135333,0.35,0.6939446,0.54996216,0.6107838,0.4396076,0.58880717,0.8639456,0.7148906,0.29634133,0.0,0.64878535
