,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,37849.0,146.0,886.0,9908.0,1320.0,8.0,2967.0,812.0,27.0,288.0,287.0,1.0,19.0,950.0,55468.0,0.6823574
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,5104.0,106.0,5354.0,9715.0,5584.0,0.0,19499.0,789.0,91.0,158.0,117.0,1.0,7.0,772.0,47297.0,0.11319957
Fruit trees/berry plantations,7434.0,260.0,1940.0,83644.0,4431.0,14.0,19707.0,394.0,136.0,42.0,73.0,1.0,26.0,1310.0,119412.0,0.7004656
Pastures,3367.0,218.0,946.0,10507.0,25442.0,13.0,80091.0,2255.0,197.0,541.0,421.0,10.0,21.0,1219.0,125248.0,0.20313299
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,2472.0,138.0,667.0,8343.0,16693.0,32.0,264492.0,12662.0,1902.0,4312.0,2896.0,120.0,65.0,1299.0,316093.0,0.8367537
Natural grasslands,490.0,15.0,64.0,885.0,1293.0,20.0,18291.0,50495.0,1295.0,8225.0,10863.0,31.0,161.0,374.0,92502.0,0.5458801
Transitional woodland-shrub,301.0,20.0,30.0,866.0,1779.0,0.0,31320.0,8328.0,3619.0,930.0,999.0,18.0,8.0,125.0,48343.0,0.07486089
Bare rocks,621.0,17.0,42.0,534.0,718.0,0.0,6354.0,15205.0,227.0,18258.0,7156.0,141.0,17.0,152.0,49442.0,0.36928117
Sparsely vegetated areas,47.0,0.0,0.0,22.0,30.0,0.0,457.0,18208.0,217.0,8216.0,36689.0,11.0,83.0,149.0,64129.0,0.57211244
Glaciers and perpetual snow,189.0,0.0,79.0,211.0,358.0,0.0,7588.0,1450.0,63.0,1347.0,1982.0,1724.0,0.0,63.0,15054.0,0.11452106
Wetlands,71.0,0.0,0.0,39.0,30.0,0.0,22.0,35.0,0.0,0.0,5.0,0.0,989.0,8.0,1199.0,0.824854
Inland waters,1454.0,16.0,112.0,1068.0,499.0,4.0,1329.0,371.0,34.0,89.0,123.0,0.0,21.0,2625.0,7745.0,0.33892834
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6369098,0.26530612,0.52905136,0.66500765,0.43705764,0.35,0.5849354,0.45489353,0.46349898,0.43055227,0.59549433,0.8377065,0.6979534,0.29015142,0.0,0.56401175
