,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,37512.0,138.0,916.0,9880.0,1332.0,8.0,2734.0,366.0,21.0,143.0,107.0,1.0,18.0,851.0,54027.0,0.6943195
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,4106.0,95.0,4875.0,8239.0,4208.0,15.0,10958.0,398.0,76.0,26.0,35.0,0.0,16.0,678.0,33725.0,0.14455152
Fruit trees/berry plantations,8876.0,271.0,2097.0,89231.0,4651.0,19.0,13568.0,400.0,113.0,103.0,115.0,0.0,19.0,1305.0,120768.0,0.73886293
Pastures,3361.0,226.0,1149.0,9706.0,25921.0,10.0,76537.0,2070.0,273.0,530.0,438.0,23.0,31.0,1213.0,121488.0,0.21336263
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,2531.0,127.0,695.0,5561.0,17791.0,37.0,300763.0,9192.0,1570.0,4054.0,2395.0,116.0,43.0,1444.0,346319.0,0.86845654
Natural grasslands,406.0,10.0,45.0,791.0,728.0,1.0,7667.0,59073.0,1138.0,7893.0,10533.0,20.0,185.0,393.0,88883.0,0.6646153
Transitional woodland-shrub,538.0,33.0,116.0,828.0,1958.0,0.0,21805.0,10499.0,4193.0,1193.0,1321.0,4.0,7.0,147.0,42642.0,0.09833028
Bare rocks,567.0,15.0,82.0,488.0,570.0,0.0,7063.0,11559.0,228.0,18705.0,8417.0,176.0,19.0,135.0,48024.0,0.38949275
Sparsely vegetated areas,26.0,0.0,0.0,2.0,6.0,0.0,132.0,15790.0,106.0,8192.0,36239.0,0.0,78.0,152.0,60723.0,0.596792
Glaciers and perpetual snow,222.0,3.0,78.0,225.0,502.0,1.0,9110.0,1388.0,71.0,1417.0,1924.0,1718.0,0.0,81.0,16740.0,0.10262843
Wetlands,75.0,0.0,0.0,42.0,17.0,0.0,31.0,35.0,0.0,0.0,5.0,0.0,989.0,17.0,1211.0,0.81668043
Inland waters,1179.0,18.0,67.0,749.0,493.0,0.0,1749.0,234.0,19.0,150.0,82.0,0.0,12.0,2630.0,7382.0,0.356272
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6312389,0.26530612,0.48171937,0.7094269,0.44528618,0.35,0.6651503,0.53217,0.5370133,0.44109324,0.58819044,0.83479106,0.6979534,0.2907041,0.0,0.6177734
