,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,58870.0,14.0,98.0,22496.0,76.0,2875.0,3590.0,7568.0,23.0,324.0,95934.0,0.61365104
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,208.0,0.0,1308.0,272.0,1.0,50.0,57.0,146.0,0.0,18.0,2060.0,0.6349515
Non-irrigated arable land,6064.0,0.0,55.0,396937.0,26.0,1747.0,3044.0,19007.0,35.0,222.0,427137.0,0.9292967
Broad-leaved forest,316.0,0.0,2.0,801.0,3826.0,1203.0,2214.0,1297.0,11.0,108.0,9778.0,0.39128655
Coniferous forest,1775.0,7.0,25.0,11205.0,816.0,63386.0,50202.0,13521.0,276.0,2788.0,144001.0,0.4401775
Mixed forest,1645.0,1.0,15.0,11212.0,618.0,39473.0,49711.0,12397.0,220.0,2135.0,117427.0,0.42333534
Natural grasslands,9643.0,18.0,105.0,67297.0,234.0,11061.0,13834.0,39010.0,189.0,1938.0,143329.0,0.27217102
Inland marshes,13.0,0.0,0.0,32.0,0.0,29.0,160.0,109.0,1979.0,133.0,2455.0,0.80610996
Marine waters,151.0,0.0,12.0,1394.0,180.0,16387.0,15183.0,2082.0,98.0,12370.0,47857.0,0.25847837
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.74809706,0.23076923,0.8074074,0.775804,0.66228145,0.46535155,0.36023247,0.41004026,0.69904625,0.6173887,0.0,0.63374645
