,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,58715.0,1.0,105.0,23438.0,76.0,2733.0,3558.0,7561.0,16.0,287.0,96490.0,0.60850865
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,36.0,0.0,1300.0,98.0,1.0,49.0,11.0,52.0,0.0,13.0,1560.0,0.8333333
Non-irrigated arable land,7899.0,7.0,76.0,416674.0,42.0,2622.0,4158.0,18997.0,48.0,346.0,450869.0,0.92415756
Broad-leaved forest,487.0,5.0,7.0,1778.0,3880.0,2326.0,3912.0,1874.0,51.0,169.0,14489.0,0.26778936
Coniferous forest,1556.0,7.0,29.0,8740.0,656.0,60516.0,41537.0,10725.0,234.0,2761.0,126761.0,0.47740236
Mixed forest,1249.0,0.0,25.0,8495.0,655.0,40170.0,52937.0,12755.0,185.0,2430.0,118901.0,0.44521913
Natural grasslands,8597.0,20.0,74.0,51338.0,252.0,12441.0,15738.0,41083.0,240.0,1969.0,131752.0,0.3118207
Inland marshes,13.0,0.0,0.0,32.0,0.0,10.0,147.0,112.0,1979.0,128.0,2421.0,0.8174308
Marine waters,133.0,0.0,4.0,1053.0,215.0,15344.0,15997.0,1978.0,78.0,11933.0,46735.0,0.25533327
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.74612737,0.23076923,0.80246913,0.81437945,0.6716289,0.4442813,0.3836098,0.4318299,0.69904625,0.59557796,0.0,0.6555849
