,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,58426.0,17.0,110.0,22353.0,56.0,2610.0,3474.0,7579.0,19.0,149.0,94793.0,0.6163535
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,112.0,0.0,1294.0,215.0,1.0,63.0,24.0,109.0,0.0,18.0,1836.0,0.70479304
Non-irrigated arable land,5312.0,0.0,44.0,392471.0,24.0,1276.0,2633.0,16202.0,39.0,109.0,418110.0,0.9386788
Broad-leaved forest,409.0,0.0,3.0,1639.0,3862.0,2012.0,3620.0,1589.0,26.0,217.0,13377.0,0.28870448
Coniferous forest,654.0,0.0,17.0,3439.0,558.0,59442.0,41508.0,5243.0,131.0,2633.0,113625.0,0.5231419
Mixed forest,1478.0,0.0,20.0,8323.0,778.0,43256.0,57336.0,9181.0,206.0,2421.0,122999.0,0.46615013
Natural grasslands,12019.0,23.0,121.0,81781.0,332.0,10604.0,16207.0,52608.0,268.0,1668.0,175631.0,0.2995371
Inland marshes,141.0,0.0,0.0,768.0,31.0,1107.0,1838.0,1480.0,2037.0,360.0,7762.0,0.26243237
Marine waters,134.0,0.0,11.0,657.0,135.0,15841.0,11355.0,1146.0,105.0,12461.0,41845.0,0.29778945
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.7424548,0.23076923,0.7987654,0.7670753,0.66851306,0.43639648,0.4154873,0.552971,0.71953374,0.62193054,0.0,0.64641315
