,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,57438.0,3.0,120.0,24094.0,58.0,2307.0,3201.0,7388.0,10.0,148.0,94767.0,0.60609704
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,30.0,0.0,1294.0,156.0,1.0,30.0,27.0,22.0,0.0,13.0,1573.0,0.8226319
Non-irrigated arable land,5983.0,0.0,54.0,398100.0,27.0,1565.0,3027.0,16914.0,34.0,94.0,425798.0,0.93495035
Broad-leaved forest,713.0,0.0,20.0,2235.0,4061.0,1305.0,4573.0,1507.0,48.0,302.0,14764.0,0.27506095
Coniferous forest,777.0,7.0,21.0,3979.0,316.0,72654.0,36572.0,3764.0,142.0,2100.0,120332.0,0.60377955
Mixed forest,2374.0,0.0,32.0,13158.0,1023.0,37967.0,67881.0,10702.0,222.0,2133.0,135492.0,0.50099635
Natural grasslands,11183.0,30.0,66.0,68853.0,214.0,7510.0,13851.0,53272.0,211.0,945.0,156135.0,0.34119192
Inland marshes,31.0,0.0,0.0,177.0,0.0,207.0,595.0,709.0,2017.0,257.0,3993.0,0.505134
Marine waters,156.0,0.0,13.0,894.0,77.0,12666.0,8268.0,859.0,147.0,14044.0,37124.0,0.37829974
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.72989976,0.23076923,0.7987654,0.778077,0.70296,0.533393,0.491902,0.5599504,0.7124691,0.7009383,0.0,0.67754847
