,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,59570.0,24.0,124.0,25113.0,90.0,2928.0,3932.0,9103.0,29.0,159.0,101072.0,0.5893818
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,96.0,0.0,1295.0,112.0,1.0,37.0,25.0,30.0,0.0,13.0,1609.0,0.8048477
Non-irrigated arable land,5763.0,0.0,66.0,422292.0,31.0,1632.0,2696.0,14526.0,32.0,91.0,447129.0,0.9444523
Broad-leaved forest,569.0,5.0,2.0,1635.0,4046.0,1860.0,6103.0,2059.0,12.0,173.0,16464.0,0.2457483
Coniferous forest,361.0,0.0,6.0,1631.0,330.0,77315.0,34461.0,2063.0,82.0,1945.0,118194.0,0.6541364
Mixed forest,1934.0,7.0,37.0,7162.0,1054.0,37217.0,72497.0,9071.0,190.0,2245.0,131414.0,0.55166876
Natural grasslands,10199.0,4.0,70.0,53000.0,170.0,7438.0,13403.0,55471.0,169.0,941.0,140865.0,0.39378837
Inland marshes,88.0,0.0,4.0,444.0,11.0,484.0,1319.0,2114.0,2222.0,589.0,7275.0,0.30542955
Marine waters,105.0,0.0,16.0,257.0,44.0,7300.0,3559.0,700.0,95.0,13880.0,25956.0,0.5347511
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.75699234,0.23076923,0.7993827,0.8253597,0.7003635,0.567612,0.525352,0.58306444,0.78488165,0.692753,0.0,0.71575755
